X,Y,Z
-26.5778,2.44074,121.573
-28.3408,-17.5994,129.123
-27.5196,-8.76945,126.693
-28.6367,-21.4575,129.915
-33.449,-20.4076,126.886
-29.1913,-30.9836,130.925
-29.3906,-45.8475,130.389
-28.1539,-56.0913,127.893
-25.2959,-70.1387,121.57
-8.53536,-83.0254,103.836
3.09387,-83.7178,102.45
15.9893,-85.9176,102.701
8.57793,-91.2942,91.7008
-17.9671,21.3051,99.8879
-19.0413,21.433,94.9588
-20.6904,28.6535,86.4814
-24.7263,16.6878,109.738
-17.2073,20.7055,99.5792
-16.3567,19.5344,99.0185
-26.5819,5.04609,120.071
-26.4105,8.13883,117.961
-344.29,-1.82042,-70.9108
-351.006,-2.88381,-78.9826
-351.635,-3.83358,-82.9957
-353.03,-4.14245,-88.6257
-358.29,-3.78375,-94.7644
-345.741,-2.33167,-111.229
-337.656,-3.25772,-109.45
-348.351,-3.01553,-124.698
-346.459,-2.09903,-128.215
-346.726,-1.8561,-139.031
-332.629,-2.36306,-123.282
-340.433,-2.29926,-144.034
-336.866,-3.91148,-149.392
-332.7,-3.35188,-158.889
-325.184,-1.67295,-167.505
-317.979,-1.84901,-172.603
-343.084,-4.70568,-67.4987
-348.634,-8.27836,-74.0481
-345.503,-5.84323,-80.9932
-340.494,-6.57252,-87.4981
-353.674,-6.09981,-93.681
-352.078,-7.42145,-99.1176
-340.151,-4.6229,-100.807
-347.505,-6.84625,-110.559
-338.169,-4.8334,-106.908
-339.78,-6.00252,-115.46
-339.707,-5.21943,-122.44
-340.876,-5.87632,-126.274
-340.241,-5.8811,-135.49
-341.551,-7.24457,-158.02
-328.265,-3.56696,-137.03
-330.014,-4.59951,-148.685
-324.269,-3.04499,-146.787
-342.84,-8.56669,-77.3041
-349.712,-12.8281,-78.3719
-355.848,-14.9983,-81.7988
-356.808,-12.1689,-92.0336
-353.409,-12.3278,-97.1571
-352.341,-10.1837,-103.086
-338.939,-7.12244,-102.377
-337.11,-8.2881,-104.97
-334.278,-8.1245,-107.339
-345.147,-11.2976,-115.722
-351.137,-10.4647,-127.97
-352.397,-10.7325,-133.094
-354.144,-11.1556,-144.867
-331.355,-6.50013,-126.214
-336.669,-7.31283,-145.038
-338.918,-9.11704,-164.936
-329.911,-6.70596,-155.251
-358.439,-17.2607,-67.4593
-335.873,-9.82087,-83.5607
-348.23,-13.6218,-81.0275
-353.048,-16.1897,-89.8787
-346.89,-14.6185,-93.7014
-352.907,-16.2175,-95.8863
-354.334,-14.8887,-101.429
-337.066,-10.9669,-103.063
-333.688,-10.3224,-104.013
-334.121,-10.1066,-106.656
-344.538,-12.7756,-115.315
-350.769,-17.7281,-125.964
-339.132,-12.7327,-122.623
-340.281,-10.8822,-127.022
-349.67,-14.5045,-148.829
-334.376,-9.9813,-144.214
-333.256,-8.30358,-149.865
-330.692,-8.35106,-152.183
-327.928,-6.51343,-175.765
-317.61,-3.10794,-186.934
-349.528,-19.2187,-81.7967
-344.972,-15.6175,-89.3687
-352.412,-22.7804,-95.5967
-342.485,-17.3559,-97.5041
-342.595,-17.192,-102.235
-334.654,-13.2684,-103.286
-332.485,-11.6826,-103.543
-332.958,-12.0034,-105.476
-336.142,-13.9012,-111.241
-342.316,-15.2564,-122.853
-354.35,-23.9559,-141.241
-339.433,-16.0722,-129.252
-331.298,-9.53479,-125.659
-337.193,-14.5019,-148.641
-339.91,-13.7718,-167.436
-330.412,-9.42822,-165.45
-322.21,-5.77838,-158.283
-342.679,-19.753,-73.7885
-343.921,-20.7653,-75.8938
-355.435,-29.6731,-77.0222
-348.338,-22.2144,-83.0102
-355.244,-29.1371,-87.0992
-346.991,-25.0145,-95.6398
-347.786,-25.6266,-99.8855
-334.451,-16.5409,-100.288
-334.662,-14.4418,-102.349
-332.165,-12.4294,-103.956
-333.279,-12.8778,-106.353
-339.382,-18.9928,-116.451
-339.072,-16.9558,-121.508
-343.33,-21.4127,-127.663
-337.663,-15.4347,-132.527
-331.029,-13.5444,-125.833
-334.358,-16.2324,-139.843
-328.935,-11.7845,-144.197
-324.992,-8.8159,-138.207
-326.272,-10.3662,-180.135
-317.661,-4.33291,-173.35
-327.176,-12.6377,-82.9573
-343.073,-27.9229,-77.8956
-342.735,-24.511,-82.9914
-347.613,-26.2118,-84.1015
-348.114,-30.977,-89.1341
-346.886,-31.0223,-92.5374
-348.712,-31.6172,-100.152
-334.001,-17.3489,-99.661
-332.489,-16.7952,-102.998
-332.145,-16.9686,-104.665
-333.219,-15.8302,-106.363
-335.408,-17.6807,-114.383
-334.389,-19.4402,-115.878
-341.492,-21.9795,-131.993
-345.547,-27.8953,-149.638
-333.739,-17.6446,-134.102
-326.66,-10.9716,-129.39
-327.123,-13.3844,-137.132
-328.98,-12.9061,-157.71
-321.419,-7.86959,-142.874
-318.706,-5.19865,-163.906
-343.153,-28.6129,-80.2825
-343.364,-31.4411,-82.987
-341.861,-32.2941,-86.9694
-344.962,-33.3021,-95.4208
-349.54,-34.0415,-99.6287
-338.919,-24.9304,-102.672
-334.273,-22.6271,-104.514
-333.715,-20.2927,-105.713
-340.208,-28.4515,-114.338
-335.149,-24.7057,-114.427
-345.423,-34.2674,-135.937
-338.435,-26.3905,-134.345
-331.751,-20.5323,-133.054
-330.169,-17.5607,-142.741
-329.944,-16.9203,-148.658
-323.329,-11.1911,-153.355
-323.809,-11.2752,-162.008
-316.82,-4.72654,-165.506
-338.83,-30.8832,-74.971
-342.151,-40.2231,-74.459
-340.747,-33.9466,-83.47
-338.495,-34.78,-88.0414
-337.598,-29.713,-94.932
-339.252,-33.6254,-99.2867
-341.318,-33.3706,-101.273
-340.767,-31.7231,-105.134
-334.437,-26.3428,-106.537
-334.573,-27.5222,-110.554
-332.936,-25.194,-114.305
-330.828,-22.7717,-118.94
-331.448,-23.1492,-123.741
-328.696,-19.6838,-127.355
-329.416,-21.0199,-132.373
-325.719,-15.8475,-132.014
-327.225,-17.3609,-146.8
-324.059,-14.4973,-159.984
-322.026,-11.6614,-163.934
-332.896,-29.2774,-73.4861
-338.249,-43.7338,-77.4958
-334.259,-35.1603,-86.5659
-341.237,-42.1937,-88.9307
-338.868,-37.3174,-94.0958
-334.703,-37.5901,-98.6525
-338.883,-38.3246,-103.78
-341.712,-48.2539,-122.135
-334.098,-33.7571,-118.867
-329.365,-24.3255,-118.526
-327.042,-20.776,-116.682
-327.802,-25.479,-131.316
-327.211,-21.3661,-132.496
-327.54,-21.6785,-144.223
-321.949,-15.0895,-131.432
-322.427,-14.1797,-152.046
-318.544,-9.14909,-153.854
-328.872,-28.6883,-77.8828
-327.089,-29.5239,-84.1401
-335.943,-47.7714,-84.7221
-335.006,-48.7645,-84.9749
-333.396,-39.1222,-93.616
-332.34,-33.8844,-96.7096
-334.165,-38.9091,-105.092
-341.198,-62.3715,-123.98
-340.191,-58.4702,-128.39
-336.779,-52.3113,-131.889
-328.201,-26.5228,-117.485
-327.986,-33.1118,-128.431
-325.065,-22.9694,-124.209
