X,Y,Z
-346.107,-4.57232,-71.1125
-350.651,-2.45481,-72.3499
-369.715,-6.92037,-74.3677
-365.61,-6.79424,-79.2694
-337.61,-2.18566,-91.8564
-341.94,-2.26853,-93.3047
-371.079,-4.27259,-100.498
-344.355,-3.76247,-99.9458
-374.033,-8.74317,-120.986
-340.95,-3.80983,-111.603
-339.075,-4.26591,-113.217
-345.714,-4.10924,-122.997
-339.352,-3.64154,-123.592
-343.323,-4.85064,-136.34
-342.833,-4.00908,-138.128
-333.296,-3.08468,-145.232
-344.577,-9.11297,-70.5247
-347.688,-7.68282,-73.9394
-353.087,-6.90296,-76.4742
-367.01,-9.57275,-76.8335
-341.292,-7.76339,-89.5597
-347.203,-9.44942,-93.2347
-342.306,-7.61258,-101.338
-341.852,-8.2665,-101.798
-345.841,-9.22964,-110.326
-343.794,-8.68796,-112.137
-338.37,-6.44172,-113.391
-346.683,-6.87376,-123.294
-346.01,-6.33367,-134.218
-341.713,-6.84392,-137.078
-331.197,-4.5545,-144.638
-344.634,-10.9729,-70.7144
-353.449,-14.8385,-74.4347
-346.103,-12.8755,-95.4052
-342.553,-9.2123,-101.008
-341.929,-9.85593,-101.606
-340.594,-10.2346,-104.864
-339.327,-8.33189,-110.397
-339.356,-8.2724,-111.796
-341.099,-9.99753,-122.196
-340.847,-9.37873,-134.938
-339.705,-10.259,-137.036
-335.415,-9.69774,-139.731
-315.059,-3.17854,-157.266
-346.803,-14.953,-70.6695
-345.768,-16.6509,-76.3668
-353.277,-17.0609,-75.5176
-343.53,-13.6855,-88.8
-345.667,-16.455,-92.789
-356.118,-20.0412,-103.839
-339.176,-12.0975,-106.81
-338.503,-11.6027,-108.672
-340.089,-11.8125,-136.47
-333.015,-11.5681,-141.061
-333.037,-12.8947,-72.1661
-346.031,-19.9136,-76.3415
-352.362,-21.8953,-78.3727
-349.052,-20.3341,-84.8712
-345.613,-19.5835,-90.5804
-360.284,-25.257,-104.07
-333.963,-14.7932,-141.78
-331.275,-16.5165,-79.9861
-346,-25.8509,-75.7227
-337.86,-21.2721,-80.6142
-347.384,-25.6136,-82.6129
-359.365,-30.2484,-85.4948
-336.06,-19.06,-138.946
-330.371,-15.0252,-143.524
-328.774,-14.3075,-146.866
-344.835,-29.3779,-78.1681
-349.632,-34.2874,-80.488
-334.993,-22.0894,-138.134
-331.644,-19.7842,-142.686
-327.01,-14.4267,-148.78
-323.617,-12.6902,-151.916
-314.306,-4.42386,-156.67
-329.262,-19.0556,-80.8587
-340.786,-33.9434,-82.3309
-332.941,-21.7424,-140.124
-321.232,-11.2261,-152.685
-319.695,-10.2292,-153.79
-329.266,-22.0939,-81.5545
-343.513,-44.5524,-76.7635
-344.426,-42.9423,-80.462
-319.681,-12.3413,-154.1
-318.747,-11.8181,-154.496
-313.191,-4.20829,-158.923
-336.905,-46.1006,-77.4659
-338.581,-45.5509,-81.5143
-318.909,-13.8978,-154.602
-317.392,-10.8221,-154.583
-338.959,-50.0857,-76.1958
-336.342,-53.6474,-79.3769
-344.786,-61.475,-84.7372
-318.553,-15.5554,-156.612
-317.665,-13.1474,-155.468
-312.254,-3.75045,-158.003
-332.068,-56.3323,-75.7659
-333.627,-55.3947,-76.3749
-329.837,-47.8243,-87.6525
-335.946,-65.6897,-91.144
-318.533,-23.2759,-160.174
-316.51,-16.7336,-160.503
-315.658,-12.6348,-156.093
-329.916,-59.1785,-74.5689
-325.211,-60.6156,-78.736
-324.869,-64.7213,-82.7727
-329.659,-66.6494,-93.7787
-316.014,-21.3216,-158.275
-313.864,-11.9064,-156.106
-321.733,-59.5963,-82.0278
-323.057,-59.7226,-82.5495
-325.449,-69.7561,-90.0111
-321.722,-67.4648,-97.4288
-313.305,-18.2861,-154.282
-313.304,-15.7061,-161.846
-312.16,-71.455,-75.4965
-317.825,-72.6019,-86.6051
-313.452,-69.6938,-94.0691
-317.343,-68.9866,-97.711
-312.885,-23.5623,-157.814
-313.097,-22.64,-158.102
-311.519,-4.05707,-157.039
-307.045,-68.5183,-75.0269
-306.364,-68.13,-87.4801
-306.955,-66.8908,-89.1963
-310.911,-23.7341,-158.501
-310.909,-17.5777,-158.098
-310.207,-15.4596,-161.353
-299.182,-65.362,-77.2829
-297.824,-74.1767,-80.5525
-301.779,-64.7796,-91.9547
-307.797,-23.6484,-160.332
-309.665,-17.9711,-158.687
