X,Y,Z
-337.306,-13.3017,-104.273
-336.785,-10.9709,-108.552
-340.97,-11.051,-110.241
-340.008,-10.6336,-114.658
-342.099,-13.3029,-117.328
-335.312,-13.5142,-124.171
-335.859,-12.2147,-124.908
-340.252,-10.3121,-129.511
-350.952,-12.5043,-139.726
-347.451,-12.6286,-146.664
-339.359,-13.06,-145.498
-334.53,-11.9613,-151.446
-331.495,-10.3295,-154.369
-331.18,-13.0051,-157.214
-337.101,-14.1376,-103.847
-360.879,-22.221,-97.3472
-333.568,-16.1819,-110.901
-339.6,-14.2675,-115.12
-351.654,-15.7266,-117.461
-336.857,-14.5826,-122.915
-351.794,-18.6456,-133.737
-349.39,-15.1392,-135.695
-348.834,-15.3948,-141.096
-341.898,-17.0554,-144.198
-336.523,-15.4384,-149.098
-333.9,-16.1457,-155.329
-321.094,-13.4865,-216.043
-344.602,-23.2864,-105.607
-356.848,-27.4036,-109.722
-355.993,-23.8091,-114.776
-361.409,-28.026,-128.101
-355.735,-22.3517,-130.591
-346.725,-21.7027,-144.069
-345.852,-20.2798,-148.176
-335.29,-20.518,-148.09
-333.968,-19.6203,-150.527
-331.943,-17.2462,-155.435
-326.896,-17.875,-156.387
-344.274,-27.2637,-97.2832
-343.267,-27.904,-103.718
-331.35,-21.7115,-112.096
-344.903,-23.8962,-111.444
-346.07,-25.7525,-115.361
-347.143,-29.3654,-121.102
-344.62,-25.9494,-143.349
-341.511,-25.9602,-145.982
-336.527,-22.4002,-147.924
-350.48,-30.869,-163.662
-331.097,-22.6087,-154.11
-326.616,-18.4384,-155.35
-344.435,-28.6485,-102.225
-342.458,-29.9281,-107.298
-359.381,-35.602,-119.85
-347.172,-31.7056,-125.877
-335.368,-25.7949,-131.57
-345.929,-34.0746,-135.481
-341.077,-27.7092,-145.919
-334.232,-25.6373,-147.934
-330.336,-24.7487,-151.739
-329.405,-23.8292,-152.274
-326.112,-22.8265,-153.916
-350.579,-39.5675,-99.2759
-329.498,-27.16,-112.833
-360.062,-43.7003,-114.689
-338.587,-33.1017,-127.356
-335.514,-33.4638,-130.14
-344.092,-35.1349,-139.306
-340.855,-35.9021,-143.497
-336.701,-32.6392,-146.752
-336.551,-32.2785,-147.645
-329.708,-25.9752,-151.471
-326.464,-23.8983,-153.313
-325.366,-23.3779,-154.384
-323.507,-22.9172,-157.204
-342.883,-44.0271,-98.1031
-346.734,-43.0328,-118.2
-338.617,-37.4639,-123.481
-337.017,-35.2318,-127.598
-334.849,-34.4756,-130.074
-331.272,-34.0299,-135.341
-336.515,-35.1594,-145.656
-334.074,-33.6088,-151.689
-331.728,-34.5481,-153.628
-324.961,-28.4726,-155.631
-323.297,-25.7637,-157.409
-315.71,-20.9401,-218.936
-338.883,-47.4699,-101.477
-335.975,-41.3831,-127.63
-333.129,-37.6213,-130.38
-330.922,-35.7926,-135.618
-334.845,-41.473,-141.819
-339.918,-43.5287,-147.624
-329.604,-38.0112,-154.497
-355.893,-61.1433,-192.527
-335.058,-51.7738,-102.356
-335.013,-47.5458,-122.45
-334.916,-46.7724,-125.409
-329.713,-40.9087,-152.939
-328.601,-39.95,-154.99
-337.175,-64.8294,-100.619
-328.807,-52.1853,-112.53
-344.74,-68.7755,-111.736
-342.993,-66.9658,-203.586
-328.471,-58.542,-103.321
-321.402,-64.1601,-103.961
-329.7,-77.5888,-102.82
-329.556,-73.4182,-208.363
-310.197,-30.8985,-223.516
-318.242,-59.1268,-104.98
-315.998,-70.1709,-134.07
-316.497,-62.856,-154.341
-319.071,-75.4403,-212.631
-311.979,-65.7624,-104.61
-308.62,-63.7875,-96.1917
-305.211,-63.9893,-105.236
-304.755,-67.4111,-221.955
-305.165,-57.2506,-223.587
-306.487,-45.3518,-224.472
-300.262,-69.0462,-102.434
-295.894,-89.5815,-155.562
-296.195,-59.6281,-106.772
-294.888,-71.1227,-110.072
-291.921,-66.5878,-119.665
-293.887,-94.3121,-150.109
-289.788,-57.6353,-107.768
-289.304,-62.7944,-125.207
-284.492,-62.9755,-98.8996
-287.876,-57.0698,-107.588
-285.356,-58.6424,-110.513
-285.608,-55.2194,-127.531
-280.01,-52.9236,-98.2827
-281.26,-55.2208,-106.643
-281.984,-50.2489,-111.754
-280.418,-57.9942,-112.961
-278.733,-53.6638,-122.559
-283.222,-49.6605,-127.26
-249.341,-105.083,-138.414
-278.295,-47.8275,-104.09
-276.761,-54.6826,-103.171
-278.814,-45.5684,-114.574
-274.632,-51.6812,-114.882
-275.357,-53.1043,-123.685
-279.714,-44.1211,-127.508
-280.769,-46.8874,-132.61
-281.669,-44.1715,-137.052
-281.037,-41.437,-140.816
-262.649,-67.0677,-220.44
-268.857,-53.0286,-99.3348
-275.807,-44.8973,-107.623
-272.357,-48.0198,-109.322
-277.481,-39.8391,-115.979
-253.239,-78.4661,-122.439
-277.122,-42.13,-127.776
-242.951,-80.1499,-139.353
-279.59,-36.8355,-144.606
-280.509,-35.8725,-144.266
-259.114,-64.3652,-217.078
-270.143,-40.5286,-97.9624
-271.434,-43.7546,-102.669
-269.521,-41.7869,-107.161
-276.248,-35.9627,-116.122
-271.493,-42.9111,-117.366
-252.451,-57.1513,-123.277
-274.717,-41.5033,-128.324
-272.571,-39.217,-130.058
-270.13,-40.1924,-134.984
-273.739,-37.148,-138.485
-277.523,-38.2094,-144.874
-279.796,-31.4613,-145.003
-260.357,-51.093,-178.654
-263.407,-46.7282,-193.029
-263.893,-46.1306,-197.738
-263.844,-48.2424,-229.912
-276.774,-33.9135,-98.1567
-271.67,-34.3704,-98.6802
-272,-35.3162,-102.657
-271.491,-33.5006,-110.286
-278.25,-31.2071,-116.61
-276.769,-31.3113,-117.953
-248.691,-58.5672,-131.466
-273.759,-32.6077,-130.211
-274.141,-34.6788,-132.272
-278.38,-28.5816,-140.047
-279.869,-29.5217,-142.578
-246.598,-54.1177,-195.631
-263.644,-45.5761,-203.636
-263.027,-43.0568,-222.509
-271.29,-33.4299,-96.7223
-267.441,-36.0912,-102.51
-269.463,-32.4492,-109.752
-273.739,-31.2222,-112.942
-275.807,-28.0867,-117.795
-210.801,-67.2649,-119.66
-272.934,-28.6276,-127.876
-275.069,-27.6213,-129.505
-284.15,-23.2431,-130.322
-275.542,-26.5416,-136.333
-268.66,-30.4528,-145.632
-244.805,-46.2042,-180.945
-243.362,-48.1894,-188.671
-276.777,-24.6094,-103.517
-268.769,-29.2203,-102.167
-261.649,-31.601,-108.07
-268.927,-27.4935,-114.164
-270.004,-25.9898,-120.057
-223.942,-50.2588,-114.944
-274.115,-24.2931,-126.521
-273.901,-23.4185,-128.141
-282.266,-19.8785,-134.175
-273.204,-23.703,-142.078
-275.638,-23.1327,-144.228
-243.741,-41.7567,-175.395
-279.491,-18.4249,-100.032
-277.56,-18.6027,-100.489
-279.259,-18.9091,-106.986
-278.406,-20.3829,-109.479
-277.855,-19.1469,-112.986
-269.846,-21.8994,-114.332
-278.967,-18.8532,-120.605
-270.553,-22.2891,-122.041
-268.907,-22.5138,-124.921
-273.489,-22.8301,-131.007
-273.293,-22.4197,-133.31
-272.921,-21.6252,-136.802
-281.703,-18.4772,-136.444
-275.845,-22.323,-145.379
-277.356,-19.7265,-146.981
-279.192,-17.8084,-100.872
-279.797,-15.2508,-105.773
-278.775,-17.9689,-106.236
-266.998,-19.7559,-106.94
-277.476,-17.3879,-114.84
-277.922,-17.0417,-118.537
-277.689,-16.6261,-119.367
-276.33,-16.97,-121.393
-262.396,-22.1103,-124.717
-255.858,-22.6398,-130.402
-272.095,-19.81,-132.582
-271.636,-18.2283,-135.132
-275.666,-16.2858,-144.117
-278.877,-16.567,-144.023
-282.05,-14.7858,-146.121
-285.226,-15.2019,-146.391
-287.286,-13.9419,-146.9
-281.679,-12.9068,-103.052
-280.214,-12.7675,-104.018
-278.224,-14.9022,-107.169
-270.224,-15.1315,-108.881
-277.675,-15.3039,-112.621
-273.057,-14.0418,-114.573
-269.619,-14.1357,-120.06
-274.684,-16.1435,-123.471
-274.896,-13.5803,-125.9
-274.765,-13.3002,-129.678
-275.718,-13.2512,-132.187
-250.37,-16.9145,-143.623
-270.872,-16.7403,-138.892
-276.869,-14.5382,-142.351
-279.951,-14.1077,-144.963
-261.989,-18.6112,-165.768
-287.594,-12.0913,-147.404
-281.402,-12.4799,-103.906
-278.767,-10.4718,-105.466
-279.881,-10.6563,-110.383
-274.667,-10.4015,-109.423
-274.658,-11.9578,-114.144
-274.535,-10.4486,-115.394
-274.631,-10.3936,-119.834
-280.096,-12.2453,-123.734
-275.294,-10.7806,-129.286
-276.466,-10.7143,-130.86
-277.808,-10.3796,-134.039
-277.268,-10.4692,-137.59
-281.283,-11.1374,-139.271
-274.147,-11.8661,-145.462
-263.911,-13.7216,-168.872
-281.197,-8.68268,-102.054
-280.085,-9.97673,-106.192
-280.947,-8.60801,-110.345
-278.65,-7.70583,-110.709
-278.348,-8.87112,-113.814
-271.852,-9.68641,-114.316
-276.578,-7.56454,-118.801
-281.286,-8.3266,-122.951
-280.511,-7.89452,-127.113
-272.898,-8.78479,-132.622
-277.21,-9.21264,-139.166
-288.964,-9.41868,-133.591
-279.562,-9.09095,-142.149
-281.191,-9.72525,-144.207
-283.423,-8.56688,-148.56
-287.479,-9.31071,-146.967
-282.084,-7.98219,-103.105
-280.258,-6.752,-105.181
-276.714,-7.45515,-108.029
-281.905,-6.77703,-111.785
-280.039,-7.61319,-116.233
-281.139,-7.27172,-119.251
-281.235,-7.89605,-120.759
-270.346,-6.70804,-121.062
-280.948,-7.65199,-125.431
-280.99,-6.77967,-127.997
-278.553,-6.65603,-138.341
-278.297,-5.32525,-139.902
-279.535,-6.62234,-145.401
-279.671,-6.05089,-146.371
-265.925,-4.13047,-170.181
-288.925,-8.13963,-147.228
-289.47,-8.53262,-151.431
-284.891,-4.87759,-104.213
-277.919,-3.82428,-101.979
-271.567,-0.20929,-103.625
-281.312,-5.45755,-113.693
-280.864,-4.02989,-115.53
-271.553,-0.817619,-120.094
-273.959,-1.50357,-126.716
-274.336,-4.09058,-135.544
-277.959,-3.28993,-138.391
-278.342,-4.18922,-138.945
-276.391,-2.94984,-144.409
-280.852,-4.083,-146.184
-290.038,-6.04667,-149.076
-289.211,-6.0047,-161.909
-278.05,-1.85224,-99.7435
-273.679,1.81164,-98.3918
-276.15,0.0209153,-106.336
-273.249,3.00429,-105.33
-281.025,-0.439181,-118.178
-276.185,-0.780189,-120.084
-274.86,2.11301,-122.812
-273.734,2.05616,-132.024
-262.21,7.62982,-150.005
-280.797,-2.61229,-141.955
-281.942,-2.43653,-148.43
-266.657,5.52242,-169.009
-288.899,-5.28922,-151.584
-288.525,-5.02676,-160.871
-292.313,-5.53195,-160.691
-277.091,3.09033,-94.417
-274.649,2.45569,-97.9027
-275.426,2.30345,-104.327
-272.725,3.58857,-106.247
-276.066,2.66825,-110.982
-274.643,3.74581,-119.606
-278.263,2.64288,-122.666
-277.915,4.1261,-124.492
-277.634,2.69802,-144.686
-283.438,-1.37083,-143.153
-285.703,-0.36642,-143.832
-285.624,-0.824882,-148.806
-289.505,-2.90891,-151.839
-290.935,-3.22745,-157.95
-293.628,-4.85416,-159.485
-289.838,-1.97247,-105.42
-275.667,8.54271,-99.6991
-279.836,5.80535,-104.832
-277.074,8.2014,-107.745
-278.486,6.77884,-114.185
-278.556,7.44316,-114.603
-281.8,3.21368,-121.094
-282.658,4.59926,-122.654
-277.842,5.41458,-125.139
-273.481,8.38821,-137.127
-289.049,-1.83172,-136.574
-288.011,-0.764234,-143.105
-286.516,-0.366093,-150.058
-287.79,0.0668746,-151.598
-290.467,-2.21236,-152.922
-290.519,-2.1299,-162.149
-296.538,-5.66893,-159.913
-280.104,7.38272,-96.5459
-288.805,0.751589,-108.522
-280.356,7.41825,-104.679
-280.747,9.68677,-109.573
-281.777,5.98311,-112.214
-280.374,9.25287,-114.884
-277.316,10.0158,-120.121
-283.93,5.24977,-123.669
-284.286,5.81901,-124.488
-268.633,19.4075,-134.443
-274.026,11.789,-138.039
-279.104,7.48304,-144.514
-267.497,20.415,-162.986
-286.114,4.00457,-144.643
-289.304,0.753742,-150.879
-290.079,-0.686772,-154.785
-298.376,-5.97831,-164.142
-279.991,13.3809,-100.079
-278.602,11.8763,-101.855
-282.515,9.75307,-111.019
-281.844,10.8336,-110.955
-280.783,10.1217,-114.702
-280.258,10.6302,-120.786
-275.724,14.595,-122.872
-276.492,14.3216,-127.119
-284.153,7.78203,-126.991
-276.116,17.2003,-134.057
-275.147,16.1633,-136.981
-277.418,14.7643,-143.289
-280.379,14.2307,-145.136
-284.397,8.30826,-145.988
-291.416,1.89955,-152.089
