X,Y,Z
-303.121,-64.9418,-111.713
-300.566,-61.6186,-117.38
-305.442,-38.2333,-129.429
-301.874,-56.3794,-137.3
-303.897,-43.1214,-139.869
-305.348,-44.4934,-148.334
-303.716,-56.5636,-170.555
-307.96,-19.9618,-135.068
-305.425,-26.8152,-112.053
-303.797,-32.3412,-116.667
-303.625,-37.6474,-117.923
-303.336,-38.5462,-122.209
-299.831,-55.0384,-136.212
-301.595,-43.9554,-143.372
-305.458,-28.9175,-150.386
-306.493,-24.441,-145.946
-303.494,-27.3031,-111.5
-300.238,-39.1959,-107.537
-291.74,-60.104,-105.946
-300.205,-35.9855,-114.863
-300.961,-34.7384,-122.688
-299.252,-36.916,-126.2
-297.699,-39.9964,-134.711
-303.754,-29.279,-156.795
-305.53,-23.3059,-156.331
-306.964,-19.6271,-148.24
-287.975,-59.722,-98.7347
-299.632,-31.9258,-118.917
-291.661,-47.9636,-127.703
-300.666,-31.9565,-126.337
-300.862,-29.9067,-131.137
-304.032,-24.8967,-128.812
-300.164,-29.7123,-134.613
-302.206,-26.6696,-152.077
-304.916,-21.9486,-155.098
-306.552,-19.0397,-150.935
-300.583,-26.6454,-113.602
-296.675,-32.8802,-112.168
-297.19,-31.7863,-113.694
-293.421,-40.767,-134.539
-299.311,-28.0642,-134.064
-298.653,-29.4648,-137.961
-304.273,-22.5211,-148.299
-290.5,-36.0969,-98.7914
-292.198,-36.7765,-102.463
-293.065,-35.0652,-110.495
-292.5,-35.2124,-112.209
-296.564,-30.1401,-116.51
-294.553,-32.4348,-120.163
-291.225,-36.133,-125.852
-289.193,-38.9423,-135.737
-294.348,-32.6726,-141.807
-298.721,-27.1191,-136.224
-305.075,-19.2988,-137.163
-292.307,-31.1516,-95.8622
-288.634,-35.3469,-98.6356
-285.679,-36.6601,-107.155
-298.478,-24.9677,-116.582
-291.227,-33.0808,-114.232
-293.841,-29.5183,-117.848
-291.862,-32.1076,-120.441
-293.178,-29.6742,-122.462
-295.057,-28.4198,-124.051
-294.346,-29.9513,-130.571
-297.058,-26.0951,-134.86
-303.31,-20.1229,-128.794
-299.081,-25.1149,-142.897
-298.115,-25.8337,-158.654
-285.562,-33.6466,-97.7267
-291.142,-30.7511,-110.401
-286.981,-31.2517,-110.943
-291.476,-29.5485,-116.571
-288.28,-32.5249,-118.266
-284.724,-36.4295,-120.917
-284.632,-34.5193,-138.928
-298.567,-23.1209,-129.57
-295.171,-27.1791,-152.269
-299.356,-23.1721,-162.646
-281.989,-30.6847,-97.6838
-283.019,-30.0599,-104.735
-285.641,-28.4848,-108.424
-285.657,-29.146,-111.223
-288.864,-29.1141,-114.525
-285.806,-29.4536,-116.505
-296.01,-22.9735,-121.012
-294.409,-23.3925,-127.87
-283.267,-31.1417,-140.872
-299.807,-21.4072,-130.575
-290.442,-26.5739,-146.205
-296.074,-22.457,-156.548
-289.494,-24.8355,-104.898
-281.174,-29.0564,-99.7604
-282.091,-29.567,-105.446
-294.235,-22.3009,-124.19
-290.345,-25.337,-132.161
-286.781,-26.4834,-141.726
-301.103,-18.9435,-139.089
-282.861,-23.9501,-99.2263
-285.531,-23.3449,-106.394
-282.393,-26.0781,-110.017
-285.222,-24.7734,-120.761
-287.132,-24.4684,-124.783
-291.956,-21.8282,-126.604
-286.943,-23.3562,-130.38
-294.502,-19.979,-129.463
-297.752,-19.272,-130.874
-296.792,-18.9913,-141.1
-299.596,-18.3028,-167.525
-282.408,-23.0297,-101.782
-277.318,-22.719,-100.2
-278.144,-22.0976,-111.631
-282.095,-22.1143,-118.482
-284.971,-22.5393,-126.803
-290.106,-20.6513,-128.019
-283.776,-20.5895,-131.475
-286.593,-20.4669,-133.735
-293.943,-18.5368,-131.655
-282.511,-20.6943,-156.452
-292.804,-19.8602,-148.278
-281.107,-20.5873,-98.6262
-287.93,-19.1742,-111.265
-281.163,-20.9198,-116.322
-281.476,-18.3408,-126.196
-284.95,-17.73,-127.55
-286.334,-17.6488,-131.075
-287.833,-17.9889,-133.345
-290.407,-18.3904,-132.697
-281.048,-18.2828,-149.674
-281.74,-19.0552,-154.769
-294.291,-17.7637,-142.468
-292.843,-17.6404,-157.673
-293.181,-17.0215,-157.974
-298.622,-16.2695,-159.307
-273.977,-16.6121,-96.6198
-274.962,-17.8368,-97.9551
-278.027,-16.629,-107.699
-279.683,-17.2459,-120.523
-276.37,-17.5678,-122.019
-280.729,-15.3122,-125.792
-278.024,-16.7099,-129.939
-289.185,-15.1321,-129.498
-284.872,-16.8722,-132.626
-291.156,-16.0541,-140.161
-283.368,-16.7176,-152.417
-283.775,-15.4239,-159.354
-292.023,-16.396,-157.313
-304.365,-15.17,-153.538
-276.7,-14.6574,-95.0093
-276.058,-14.6599,-100.77
-270.686,-13.8197,-114.756
-277.392,-13.8484,-131.446
-277.643,-13.5803,-153.885
-291.573,-14.9139,-143.826
-291.194,-14.6018,-158.447
-300.41,-14.5946,-170.535
-278.162,-10.3941,-101.596
-290.416,-12.127,-123.021
-276.591,-8.39594,-125.779
-279.148,-9.99753,-128.64
-286.12,-11.8907,-130.274
-297.109,-13.1878,-131.92
-275.918,-10.6258,-156.421
-284.176,-10.0642,-152.383
-288.277,-11.3652,-157.164
-298.014,-13.0939,-149.841
-301.788,-14.2746,-151.736
-274.595,-7.41708,-97.7685
-273.274,-4.25749,-104.209
-286.32,-9.99052,-118.837
-276.457,-6.2775,-127.53
-275.548,-5.37644,-130.271
-282.043,-7.25064,-137.472
-292.107,-10.1231,-132.706
-282.8,-7.06814,-143.062
-287.255,-9.8739,-143.877
-287.201,-10.3276,-151.738
-293.43,-11.3691,-147.469
-291.222,-10.9916,-154.257
-294.567,-11.5462,-154.963
-301.73,-13.0204,-165.835
-275.86,-2.35592,-97.48
-274.211,-3.87787,-105.323
-278.438,-4.07529,-110.015
-293.734,-8.97048,-124.306
-278.627,-4.62304,-131.696
-283.854,-6.48351,-131.503
-288.955,-7.61524,-132.88
-280.013,-2.62049,-142.69
-273.837,-1.14285,-160.427
-284.854,-4.76713,-152.04
-295.217,-10.3556,-148.562
-296.36,-11.0208,-158.736
-299.8,-12.0434,-151.73
-300.455,-11.5158,-170.656
-276.099,2.21716,-96.5992
-276.688,2.81176,-114.47
-273.037,4.96173,-125.739
-275.404,3.30649,-133.869
-282.252,-2.46325,-133.007
-289.699,-4.92536,-133.823
-280.868,0.528538,-142.692
-283.21,-0.920247,-144.085
-293.839,-7.59713,-148.421
-290.606,-5.05284,-161.291
-296.755,-9.59463,-156.584
-296.481,-9.61713,-164.545
-304.957,-13.2719,-148.451
-278.683,6.41249,-93.7708
-273.833,6.78756,-97.7502
-273.439,9.74346,-97.7256
-274.558,7.58237,-119.12
-285.346,-1.00039,-125.157
-283.603,2.55298,-130.325
-280.126,1.8981,-136.148
-279.881,2.21869,-139.267
-282.379,2.26426,-150.243
-298.286,-7.91736,-134.524
-292.689,-5.86357,-150.592
-296.125,-7.77037,-154.391
-297.122,-7.88783,-153.124
-297.314,-8.51723,-166.749
-302.608,-11.1579,-167.66
-276.609,12.0959,-97.0508
-280.146,8.05619,-109.736
-282.36,6.97348,-113.212
-284.82,5.77544,-119.979
-285.342,5.34381,-122.728
-286.038,4.12938,-128.016
-285.242,5.63399,-128.762
-282.422,6.5272,-139.447
-290.833,-0.466678,-137.182
-279.19,7.37896,-154.667
-284.229,4.55822,-150.355
-290.964,-2.02223,-147.961
-293.206,-2.85515,-151.271
-297.406,-6.17936,-152.386
-296.044,-4.90438,-167.164
-300.702,-9.16026,-156.697
-277.021,14.4869,-92.5258
-278.325,12.4564,-102.759
-278.821,14.3359,-107.571
-279.828,11.7599,-111.429
-279.863,15.172,-115.242
-285.675,9.10805,-119.395
-285.25,8.80199,-132.306
-286.933,6.2257,-134.983
-281.351,14.0748,-142.718
-288.777,6.05242,-142.092
-283.629,8.05227,-150.371
-281.293,10.2682,-163.314
-296.143,-1.80568,-146.622
-298.256,-4.00556,-144.642
-296.845,-4.36663,-152.96
-297.165,-2.80962,-162.275
-299.207,-6.19564,-169.909
-275.401,22.3583,-94.0582
-280.385,17.1098,-112.73
-280.363,17.1614,-115.138
-279.223,17.8272,-124.729
-288.98,8.96434,-126.701
-288.093,8.86614,-130.926
-281.415,17.6441,-137.463
-282.833,20.2682,-141.755
-287.825,12.5948,-145.685
-288.883,8.68355,-146.601
-287.829,13.2095,-155.817
-294.07,1.14364,-148.817
-299.278,-4.53296,-146.032
-300.879,-5.33075,-147.566
-303.526,-8.88558,-143.543
-300.664,-5.62087,-168.475
-304.823,-10.0204,-155.748
-278.234,32.248,-95.1844
-277.691,32.9721,-101.246
-284.92,25.5711,-107.376
-286.6,22.1698,-116.094
-286.924,21.5894,-120.625
-286.439,21.0909,-124.637
-285.706,19.2748,-129.64
-285.705,17.9932,-133.303
-285.957,16.1564,-138.847
-299.367,-2.24369,-132.955
-285.62,22.9968,-156.407
-297.852,2.22569,-140.971
-292.168,7.66151,-154.211
-295.446,6.54538,-159.263
-300.687,-3.13575,-165.168
-285.952,28.7727,-99.8409
-282.948,37.0384,-98.4892
-282.922,33.2007,-109.347
