X,Y,Z
-343.134,-11.5511,-6.21334
-341.709,-11.5011,-18.5691
-357.774,-12.1541,-18.4759
-357.292,-10.9148,-29.4586
-359.016,-11.0867,-32.7115
-347.736,-14.391,-49.0037
-355.702,-11.0581,-56.3867
-346.562,-12.1145,-59.8728
-344.634,-10.9729,-70.7144
-346.103,-12.8755,-95.4052
-343.719,-10.5362,-107.995
-339.176,-12.0975,-106.81
-340.783,-10.9108,-136.037
-321.232,-11.2261,-152.685
-358.021,-16.2599,-17.278
-344.133,-15.1698,-64.4264
-344.272,-17.4389,-67.0153
-346.071,-16.9902,-74.8525
-345.667,-16.455,-92.789
-333.963,-14.7932,-141.78
-328.774,-14.3075,-146.866
-319.681,-12.3413,-154.1
-360.015,-25.6758,-11.4949
-359.918,-21.9491,-13.1492
-350.552,-21.0816,-49.4069
-346.975,-18.9854,-50.8916
-352.362,-21.8953,-78.3727
-346.031,-19.9136,-76.3415
-345.613,-19.5835,-90.5804
-335.883,-17.84,-140.113
-330.371,-15.0252,-143.524
-321.764,-13.0478,-152.538
-348.467,-25.3106,-44.9843
-349.126,-24.0111,-48.4623
-346.535,-22.1744,-52.9944
-346,-25.8509,-75.7227
-336.06,-19.06,-138.946
-329.567,-16.9299,-144.968
-318.909,-13.8978,-154.602
-358.648,-33.068,-9.79715
-349.399,-29.4576,-40.6585
-345.184,-27.4973,-55.8196
-351.178,-31.7757,-74.1256
-344.835,-29.3779,-78.1681
-334.993,-22.0894,-138.134
-356.391,-39.1425,-9.57144
-349.872,-33.9429,-40.9046
-343.975,-32.0436,-57.8184
-352.752,-36.6593,-82.2419
-318.553,-15.5554,-156.612
-354.716,-42.6205,-10.4319
-352.948,-47.2792,-11.892
-349.913,-40.4492,-36.0608
-349.379,-38.68,-39.4815
-343.46,-36.3046,-59.9398
-342.695,-38.7501,-61.3752
-340.786,-33.9434,-82.3309
-351.379,-50.7436,-13.0741
-341.51,-43.5676,-64.2849
-343.513,-44.5524,-76.7635
-319.583,-19.3695,-158.22
-319.166,-18.418,-159.955
-349.03,-54.6377,-14.3181
-341.487,-45.1257,-44.3489
-341.2,-50.2268,-59.5166
-341.054,-47.0562,-65.4084
-338.642,-46.3354,-71.8029
-336.905,-46.1006,-77.4659
-318.403,-19.5011,-160.426
-345.725,-61.4779,-15.0796
-334.895,-47.3235,-44.8316
-336.297,-53.1187,-57.2782
-339.446,-50.5046,-57.8818
-336.342,-53.6474,-79.3769
-318.533,-23.2759,-160.174
-331.977,-57.6669,-17.9676
-334.023,-56.9477,-21.7613
-331.547,-54.374,-32.4664
-331.119,-49.6553,-43.4251
-334.024,-56.798,-57.155
-329.837,-47.8243,-87.6525
-316.014,-21.3216,-158.275
-330.644,-57.2469,-17.0351
-331.149,-57.5699,-19.7888
-330.955,-61.7388,-56.4384
-332.104,-66.1291,-64.7273
-332.526,-60.0601,-70.4745
-331.115,-58.7567,-72.7499
-313.305,-18.2861,-154.282
-328.722,-77.0064,-25.0148
-326.065,-77.7301,-33.856
-325.202,-76.8755,-41.573
-327.626,-66.8417,-53.7202
-324.153,-67.3194,-58.4729
-324.372,-65.0797,-60.8828
-324.571,-65.0989,-70.7975
-326.4,-62.2843,-79.2774
-322.202,-62.5402,-87.7054
-318.588,-75.7804,-47.8135
-321.167,-74.3365,-50.1436
-317.207,-69.0162,-57.6425
-317.405,-65.5921,-73.2144
-319.322,-67.7865,-77.6535
-312.885,-23.5623,-157.814
-311.958,-20.6345,-160.257
-311.697,-75.4919,-46.1995
-316.47,-80.8802,-54.7975
-315.367,-68.298,-54.9267
-311.253,-67.36,-74.2366
-312.031,-23.7007,-158.215
-310.909,-17.5777,-158.098
-306.822,-76.0682,-46.3787
-304.898,-79.2285,-50.692
-309.186,-70.5537,-58.5941
-304.346,-79.2206,-70.1529
-307.045,-68.5183,-75.0269
-310.411,-20.6117,-161.238
-298.01,-71.4347,-28.0045
-298.074,-72.6106,-32.1435
-298.713,-73.5326,-40.7681
-297.151,-76.4171,-48.4326
-302.311,-71.3039,-54.4881
